model,label,n_seeds,macro_f1_mean,macro_f1_sd,micro_f1_mean,micro_f1_sd,auc_pr_mean,auc_pr_sd,auc_roc_mean,auc_roc_sd
B1,B1 prior,1,0.052665447527775536,0.0,0.16971937489497563,0.0,0.043591224018475754,0.0,0.5,0.0
B4,B4 PCA+MLP,3,0.17888254583993302,0.016584887913311194,0.20514434752648913,0.002119671387267402,0.18550586473318065,0.013707193718508556,0.8019564303172442,0.0004960507882791898
BERT,BERT only,3,0.23702912696076947,0.016275392810363887,0.27656222301015065,0.02521850078314119,0.22395846772412567,0.007026103325895872,0.803141454503515,0.006611550516055172
A3,A3 relation-GNN,3,0.21567778913817212,0.008907682270656381,0.2780666481326754,0.01932544383362165,0.20761371528915196,0.007992815514521079,0.8135046228471948,0.008150076188946384
C1,C1 shuffled-GNN,3,0.20577113748656028,0.007935330820666147,0.2984596226651374,0.01786133684837068,0.19267373514959404,0.00848885038717216,0.8139398665074374,0.010187947134545417
B2,B2 log-mel CNN,3,0.24954467977159656,0.014805664942422834,0.3094154165158838,0.010108866781451953,0.25704352213174336,0.0108584815981182,0.8587839648016052,0.007121196146209858
A5,A5 cross-attention,3,0.28074044162461465,0.014210759857493916,0.36285919686365115,0.03608086155762732,0.30470763759862385,0.019377804705335292,0.876458494717348,0.0026223051330763083
A4,A4 concat,3,0.2824144215393698,0.010633054496290104,0.3799197606625501,0.0503799059719923,0.2904100690018085,0.005092272349628458,0.8726944513124156,0.0014303346378491124
