model,n_seeds,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd
A0 no message passing,3,0.5754560530679934,0.0352965118636696,0.5727145690654222,0.03592652544129823
A1 temporal GraphSAGE,1,0.5223880597014925,0.0,0.5162624085111108,0.0
A2 all-rel GraphSAGE,1,0.5074626865671642,0.0,0.505504762467005,0.0
A2 capacity-matched,1,0.5174129353233831,0.0,0.4984863334829802,0.0
A3 relation-GAT,3,0.5671641791044776,0.013162941846092473,0.5628964203376078,0.011520651571118904
C1 shuffled relation-GAT,3,0.5887230514096186,0.017472062608379364,0.5848808803398581,0.022341723288652072
